sourceFixture,fixtureKind,thresholdProfile,report,findingIndex,findingId,title,severity,confidence,domains,relatedEips
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,default,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--default.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,1,bytecode.contract-size-near-current-limit,Bytecode is near the current deployed contract size limit,medium,high,contracts|execution,EIP-7954
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,2,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,3,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/erc4337-entrypoint-v06-mainnet-runtime.hex,bytecode,research,reports/bytecode-erc4337-entrypoint-v06-mainnet-runtime--research.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,default,reports/bytecode-multicall3-mainnet-runtime--default.json,1,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,default,reports/bytecode-multicall3-mainnet-runtime--default.json,2,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,default,reports/bytecode-multicall3-mainnet-runtime--default.json,3,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,research,reports/bytecode-multicall3-mainnet-runtime--research.json,1,bytecode.state-account-opcode-presence,State and account access opcodes are present,low,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,research,reports/bytecode-multicall3-mainnet-runtime--research.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,research,reports/bytecode-multicall3-mainnet-runtime--research.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/multicall3-mainnet-runtime.hex,bytecode,research,reports/bytecode-multicall3-mainnet-runtime--research.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,default,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,default,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--default.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,default,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--default.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,default,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--default.json,4,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,default,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--default.json,5,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/safe-proxy-factory-v130-mainnet-runtime.hex,bytecode,research,reports/bytecode-safe-proxy-factory-v130-mainnet-runtime--research.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/storage-heavy.hex,bytecode,default,reports/bytecode-storage-heavy--default.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/storage-heavy.hex,bytecode,research,reports/bytecode-storage-heavy--research.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,default,reports/bytecode-uniswap-v2-factory-mainnet-runtime--default.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,3,bytecode.contract-creation-opcodes,Contract creation opcodes are present,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,4,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,5,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/uniswap-v2-factory-mainnet-runtime.hex,bytecode,research,reports/bytecode-uniswap-v2-factory-mainnet-runtime--research.json,6,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,default,reports/bytecode-usdc-proxy-mainnet-runtime--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,default,reports/bytecode-usdc-proxy-mainnet-runtime--default.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,default,reports/bytecode-usdc-proxy-mainnet-runtime--default.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,default,reports/bytecode-usdc-proxy-mainnet-runtime--default.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,2,bytecode.calldata-copy-exposure,Calldata copy opcode is present,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,3,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,4,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/usdc-proxy-mainnet-runtime.hex,bytecode,research,reports/bytecode-usdc-proxy-mainnet-runtime--research.json,5,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,default,reports/bytecode-weth9-mainnet-runtime--default.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,default,reports/bytecode-weth9-mainnet-runtime--default.json,2,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,default,reports/bytecode-weth9-mainnet-runtime--default.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,default,reports/bytecode-weth9-mainnet-runtime--default.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,research,reports/bytecode-weth9-mainnet-runtime--research.json,1,bytecode.state-account-opcode-exposure,State and account access opcodes are prominent in bytecode,medium,medium,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,research,reports/bytecode-weth9-mainnet-runtime--research.json,2,bytecode.storage-heavy-pattern,Storage-related opcodes appear frequently,medium,medium,contracts|execution,GAS-REPRICING|EIP-8038
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,research,reports/bytecode-weth9-mainnet-runtime--research.json,3,bytecode.log-opcodes-present,Log opcodes are present,low,medium,contracts|indexer|monitoring,EIP-7708
fixtures/bytecode/weth9-mainnet-runtime.hex,bytecode,research,reports/bytecode-weth9-mainnet-runtime--research.json,4,bytecode.manual-review-required,Manual review is still required for runtime behavior,unknown,low,contracts|execution,GAS-REPRICING
fixtures/indexers/balance-diff-indexer.json,indexer,default,reports/indexers-balance-diff-indexer--default.json,1,indexer.balance-diff-native-transfer-assumption,Indexer mentions balance-diff based native transfer handling,medium,medium,indexer|monitoring,EIP-7708
fixtures/indexers/balance-diff-indexer.json,indexer,default,reports/indexers-balance-diff-indexer--default.json,2,indexer.missing-bal-readiness-metadata,No explicit Block-Level Access List readiness metadata found,medium,medium,indexer|monitoring,EIP-7928
fixtures/indexers/explorer-replay-indexer.json,indexer,default,reports/indexers-explorer-replay-indexer--default.json,1,indexer.balance-diff-native-transfer-assumption,Indexer mentions balance-diff based native transfer handling,medium,medium,indexer|monitoring,EIP-7708
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,1,indexer.event-only-assumption,Indexer appears to rely on event-only handlers,medium,medium,indexer,EIP-7708
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,2,indexer.native-eth-transfer-review-missing,No native ETH transfer handling metadata found,unknown,low,indexer|monitoring,EIP-7708
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,3,indexer.missing-bal-readiness-metadata,No explicit Block-Level Access List readiness metadata found,medium,medium,indexer|monitoring,EIP-7928
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,4,indexer.missing-fork-compatibility-metadata,No explicit fork or EIP compatibility metadata found,medium,medium,indexer|tooling,EIP-7928|EIP-7708
fixtures/indexers/graph-network-subgraph-reduced.yaml,indexer,default,reports/indexers-graph-network-subgraph-reduced--default.json,5,indexer.missing-replay-plan,"No replay, testnet, or devnet plan found",medium,medium,indexer|monitoring,EIP-7928|EIP-7708|GAS-REPRICING
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,1,indexer.event-only-assumption,Indexer appears to rely on event-only handlers,medium,medium,indexer,EIP-7708
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,2,indexer.native-eth-transfer-review-missing,No native ETH transfer handling metadata found,unknown,low,indexer|monitoring,EIP-7708
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,3,indexer.missing-bal-readiness-metadata,No explicit Block-Level Access List readiness metadata found,medium,medium,indexer|monitoring,EIP-7928
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,4,indexer.missing-fork-compatibility-metadata,No explicit fork or EIP compatibility metadata found,medium,medium,indexer|tooling,EIP-7928|EIP-7708
fixtures/indexers/subgraph.yaml,indexer,default,reports/indexers-subgraph--default.json,5,indexer.missing-replay-plan,"No replay, testnet, or devnet plan found",medium,medium,indexer|monitoring,EIP-7928|EIP-7708|GAS-REPRICING
fixtures/traces/besu-debug-structlogs.json,trace,default,reports/traces-besu-debug-structlogs--default.json,1,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/besu-debug-structlogs.json,trace,research,reports/traces-besu-debug-structlogs--research.json,1,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-besu-mainnet-tracoor-debug-structlogs--default.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-besu-mainnet-tracoor-debug-structlogs--default.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-besu-mainnet-tracoor-debug-structlogs--default.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-besu-mainnet-tracoor-debug-structlogs--default.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-besu-mainnet-tracoor-debug-structlogs--research.json,1,trace.state-heavy-execution-medium,Trace shows state-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7904|EIP-8038|EIP-7976
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-besu-mainnet-tracoor-debug-structlogs--research.json,2,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,low,medium,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-besu-mainnet-tracoor-debug-structlogs--research.json,3,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-besu-mainnet-tracoor-debug-structlogs--research.json,4,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/call-tracer-tree.json,trace,default,reports/traces-call-tracer-tree--default.json,1,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/call-tracer-tree.json,trace,default,reports/traces-call-tracer-tree--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/call-tracer-tree.json,trace,default,reports/traces-call-tracer-tree--default.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/call-tracer-tree.json,trace,research,reports/traces-call-tracer-tree--research.json,1,trace.contract-creation-executed,Trace executed contract creation,medium,high,contracts|execution,GAS-REPRICING|EIP-8037
fixtures/traces/call-tracer-tree.json,trace,research,reports/traces-call-tracer-tree--research.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/call-tracer-tree.json,trace,research,reports/traces-call-tracer-tree--research.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/drpc-call-tracer-real.json,trace,default,reports/traces-drpc-call-tracer-real--default.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
fixtures/traces/drpc-call-tracer-real.json,trace,default,reports/traces-drpc-call-tracer-real--default.json,2,trace.logs-calls-visible,Trace includes logs or external calls,low,high,contracts|indexer|monitoring,EIP-7708|EIP-7928
fixtures/traces/drpc-call-tracer-real.json,trace,default,reports/traces-drpc-call-tracer-real--default.json,3,trace.partial-evidence,Trace omits some useful compatibility evidence,unknown,low,contracts|execution,GAS-REPRICING|EIP-7976
fixtures/traces/drpc-call-tracer-real.json,trace,research,reports/traces-drpc-call-tracer-real--research.json,1,trace.calldata-heavy-execution,Trace includes visible calldata-heavy execution,medium,high,contracts|execution,GAS-REPRICING|EIP-7976|EIP-7904|EIP-8038
