id,name,status,domain,detectors,notes
EIP-2926,Chunk-based code merkelization,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-5920,PAY opcode,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-6404,SSZ transactions,declined,execution,,Declined for inclusion by EIP-7773.
EIP-6466,SSZ receipts,declined,execution|indexer,,Declined for inclusion by EIP-7773.
EIP-7619,Precompile Falcon512 generic verifier,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7668,Remove bloom filters,declined,execution|indexer,,Declined for inclusion by EIP-7773.
EIP-7686,Linear EVM memory limits,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7692,EVM Object Format (EOFv1) Meta,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7745,Trustless log index,declined,execution|indexer,,Declined for inclusion by EIP-7773.
EIP-7782,Reduce Block Latency,declined,consensus|validator,,Declined for inclusion by EIP-7773.
EIP-7791,GAS2ETH opcode,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7793,Conditional Transactions,declined,execution,,Declined for inclusion by EIP-7773.
EIP-7805,Fork-choice enforced Inclusion Lists (FOCIL),declined,consensus|validator,,Declined for Glamsterdam by EIP-7773.
EIP-7819,SETDELEGATE instruction,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7872,Max blob flag for local builders,declined,builder|consensus,,Declined for inclusion by EIP-7773.
EIP-7886,Delayed execution,declined,execution|consensus,,Declined for inclusion by EIP-7773.
EIP-7903,Remove Initcode Size Limit,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7907,Meter Contract Code Size And Increase Limit,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7919,Pureth Meta,declined,execution|consensus,,Declined for inclusion by EIP-7773.
EIP-7923,"Linear, Page-Based Memory Costing",declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7932,Secondary Signature Algorithms,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7937,EVM64 - 64-bit mode EVM opcodes,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7942,Available Attestation,declined,consensus|validator,,Declined for inclusion by EIP-7773.
EIP-7949,Schema for genesis.json files,declined,tooling,,Declined for inclusion by EIP-7773.
EIP-7971,Hard Limits for Transient Storage,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7973,Warm Account Write Metering,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-7979,Call and Return Opcodes for the EVM,proposed,execution|contracts,,"Listed as proposed for inclusion by EIP-7773, despite also appearing in the declined section."
EIP-8011,Multidimensional Gas Metering,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8013,Static relative jumps and calls for the EVM,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8030,P256 transaction support,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8032,Size-Based Storage Gas Pricing,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8051,Precompile for ML-DSA signature verification,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8053,Milli-gas for High-precision Gas Metering,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8057,Inter-Block Temporal Locality Gas Discounts,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8058,Contract Bytecode Deduplication Discount,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8059,Gas Units Rebase for High-precision Metering,declined,execution|contracts,,Declined for inclusion by EIP-7773.
EIP-8062,Add sweep withdrawal fee for 0x01 validators,declined,consensus|validator,,Declined for inclusion by EIP-7773.
EIP-8068,Neutral effective balance design,declined,consensus|validator,,Declined for inclusion by EIP-7773.
EIP-8071,Prevent using consolidations as withdrawals,declined,consensus|validator,,Declined for inclusion by EIP-7773.
EIP-7610,Revert creation in case of non-empty storage,proposed,execution|contracts,,Proposed for inclusion by EIP-7773.
EIP-8163,Reserve EXTENSION (0xae) opcode,proposed,execution|contracts,,Proposed for inclusion by EIP-7773.
GAS-REPRICING,Glamsterdam gas repricing candidates,considered,execution|contracts,gasRepricingDetectors|stateCreationDetectors,Umbrella entry for broad heuristics until exact final parameters are confirmed.
