sourceFixture,fixtureKind,thresholdProfile,report,risk,findingCount,findingIds
fixtures/traces/besu-debug-structlogs.json,trace,default,reports/traces-besu-debug-structlogs--default.json,low,1,trace.logs-calls-visible
fixtures/traces/besu-debug-structlogs.json,trace,research,reports/traces-besu-debug-structlogs--research.json,low,1,trace.logs-calls-visible
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-besu-mainnet-tracoor-debug-structlogs--default.json,medium,4,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/besu-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-besu-mainnet-tracoor-debug-structlogs--research.json,medium,4,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/call-tracer-tree.json,trace,default,reports/traces-call-tracer-tree--default.json,medium,3,trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/call-tracer-tree.json,trace,research,reports/traces-call-tracer-tree--research.json,medium,3,trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/drpc-call-tracer-real.json,trace,default,reports/traces-drpc-call-tracer-real--default.json,medium,3,trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/drpc-call-tracer-real.json,trace,research,reports/traces-drpc-call-tracer-real--research.json,medium,3,trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/erigon-action-trace.json,trace,default,reports/traces-erigon-action-trace--default.json,medium,3,trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/erigon-action-trace.json,trace,research,reports/traces-erigon-action-trace--research.json,medium,3,trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/foundry-json-trace.json,trace,default,reports/traces-foundry-json-trace--default.json,medium,2,trace.contract-creation-executed|trace.logs-calls-visible
fixtures/traces/foundry-json-trace.json,trace,research,reports/traces-foundry-json-trace--research.json,medium,3,trace.state-heavy-execution-medium|trace.contract-creation-executed|trace.logs-calls-visible
fixtures/traces/geth-json-rpc-structlogs.json,trace,default,reports/traces-geth-json-rpc-structlogs--default.json,low,2,trace.calldata-heavy-execution|trace.logs-calls-visible
fixtures/traces/geth-json-rpc-structlogs.json,trace,research,reports/traces-geth-json-rpc-structlogs--research.json,low,2,trace.calldata-heavy-execution|trace.logs-calls-visible
fixtures/traces/hardhat-debug-trace.json,trace,default,reports/traces-hardhat-debug-trace--default.json,medium,2,trace.calldata-heavy-execution|trace.logs-calls-visible
fixtures/traces/hardhat-debug-trace.json,trace,research,reports/traces-hardhat-debug-trace--research.json,medium,2,trace.calldata-heavy-execution|trace.logs-calls-visible
fixtures/traces/nethermind-debug-structlogs.json,trace,default,reports/traces-nethermind-debug-structlogs--default.json,medium,3,trace.calldata-heavy-execution|trace.contract-creation-executed|trace.logs-calls-visible
fixtures/traces/nethermind-debug-structlogs.json,trace,research,reports/traces-nethermind-debug-structlogs--research.json,medium,3,trace.calldata-heavy-execution|trace.contract-creation-executed|trace.logs-calls-visible
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,default,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--default.json,medium,4,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/nethermind-mainnet-tracoor-debug-structlogs.json,trace,research,reports/traces-nethermind-mainnet-tracoor-debug-structlogs--research.json,medium,4,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/storage-heavy-trace.json,trace,default,reports/traces-storage-heavy-trace--default.json,medium,5,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/traces/storage-heavy-trace.json,trace,research,reports/traces-storage-heavy-trace--research.json,medium,5,trace.state-heavy-execution-medium|trace.calldata-heavy-execution|trace.contract-creation-executed|trace.logs-calls-visible|trace.partial-evidence
fixtures/validator/glamsterdam-devnet-operator-public.yaml,validator,default,reports/validator-glamsterdam-devnet-operator-public--default.json,unknown,2,validator.execution-client-status-partial|validator.consensus-client-status-partial
fixtures/validator/operator-config-builder-gap.yaml,validator,default,reports/validator-operator-config-builder-gap--default.json,medium,3,validator.builder-enabled-without-endpoint|validator.missing-monitoring-endpoints|validator.missing-testnet-participation
fixtures/validator/operator-config-complete.yaml,validator,default,reports/validator-operator-config-complete--default.json,low,0,
fixtures/validator/operator-config.yaml,validator,default,reports/validator-operator-config--default.json,medium,6,validator.unknown-execution-client-compatibility|validator.unknown-consensus-client-compatibility|validator.missing-validator-client-version|validator.builder-enabled-without-endpoint|validator.missing-monitoring-endpoints|validator.missing-testnet-participation
