area,label,type,url,sourceDate,retrievedAt,retrievedDaysAgo,sourceAgeDays,claim,notes
client-matrix,clients.execution.example-execution-client.1.0.0-compatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic compatible status used by safe fixture variants to exercise clean scanner paths.,
client-matrix,clients.execution.example-execution-client.1.1.0-partial.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic partial status used to exercise scanner behavior for incomplete readiness.,
client-matrix,clients.execution.example-execution-client.2.0.0-incompatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic incompatible status used to exercise scanner behavior for blocking readiness findings.,
client-matrix,clients.consensus.example-consensus-client.0.0.0-example.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic unknown status used to exercise matrix behavior when no sourced compatibility statement exists.,
client-matrix,clients.consensus.example-consensus-client.1.0.0-compatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic compatible status used by safe fixture variants to exercise clean scanner paths.,
client-matrix,clients.consensus.example-consensus-client.1.1.0-partial.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic partial status used to exercise scanner behavior for incomplete readiness.,
client-matrix,clients.consensus.example-consensus-client.2.0.0-incompatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic incompatible status used to exercise scanner behavior for blocking readiness findings.,
client-matrix,clients.validator.example-validator-client.0.0.0-example.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic unknown status used to exercise matrix behavior when no sourced compatibility statement exists.,
client-matrix,clients.validator.example-validator-client.1.0.0-compatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic compatible status used by safe fixture variants to exercise clean scanner paths.,
client-matrix,clients.validator.example-validator-client.1.1.0-partial.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic partial status used to exercise scanner behavior for incomplete readiness.,
client-matrix,clients.validator.example-validator-client.2.0.0-incompatible.source,synthetic-example,https://github.com/CruzMolina/glamsterdam-compat-lab/blob/main/data/client-compat/clients.example.json,,2026-05-12,1,,Synthetic incompatible status used to exercise scanner behavior for blocking readiness findings.,
client-matrix,clients.execution.geth.ethpandaops/geth:bal-devnet-6.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-12,1,,The glamsterdam-devnet-2 Kurtosis example lists geth with image ethpandaops/geth:bal-devnet-6 as the execution-layer participant.,
client-matrix,clients.consensus.lighthouse.ethpandaops/lighthouse:glamsterdam-devnet-3.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-12,1,,The glamsterdam-devnet-2 Kurtosis example lists lighthouse with image ethpandaops/lighthouse:glamsterdam-devnet-3 as a consensus-layer participant.,
client-matrix,clients.consensus.lodestar.ethpandaops/lodestar:glamsterdam-devnet-2.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-13,0,,The glamsterdam-devnet-2 Kurtosis example lists lodestar with image ethpandaops/lodestar:glamsterdam-devnet-2 as a consensus-layer participant.,
client-matrix,clients.consensus.prysm.ethpandaops/prysm-beacon-chain:glamsterdam-devnet-3-minimal.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-13,0,,The glamsterdam-devnet-2 Kurtosis example lists prysm with image ethpandaops/prysm-beacon-chain:glamsterdam-devnet-3-minimal as a consensus-layer participant.,
client-matrix,clients.consensus.teku.ethpandaops/teku:glamsterdam-devnet-2.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-12,1,,The glamsterdam-devnet-2 Kurtosis example lists teku with image ethpandaops/teku:glamsterdam-devnet-2 as a consensus-layer participant.,
client-matrix,clients.consensus.nimbus.ethpandaops/nimbus-eth2:glamsterdam-devnet-2-minimal.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-13,0,,The glamsterdam-devnet-2 Kurtosis example lists nimbus with image ethpandaops/nimbus-eth2:glamsterdam-devnet-2-minimal as a consensus-layer participant.,
client-matrix,clients.consensus.grandine.ethpandaops/grandine:glamsterdam-devnet-2-minimal.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-13,0,,The glamsterdam-devnet-2 Kurtosis example lists grandine with image ethpandaops/grandine:glamsterdam-devnet-2-minimal as a consensus-layer participant.,
client-matrix,devnets.glamsterdam-devnet-2.source,public-devnet-spec,https://notes.ethereum.org/@ethpandaops/glamsterdam-devnet-2,,2026-05-12,1,,The glamsterdam-devnet-2 spec targets launch on 2026-04-30 and includes a Kurtosis participants matrix with specific EL and CL devnet images.,
client-matrix,devnets.glamsterdam-devnet-2.specVersions.consensus-specs.v1.7.0-alpha.7.source,public-spec-release,https://github.com/ethereum/consensus-specs/releases/tag/v1.7.0-alpha.7,2026-04-29,2026-05-12,1,14,The consensus-specs v1.7.0-alpha.7 release is a pre-release containing Gloas changes used by the glamsterdam-devnet-2 spec.,
client-matrix,devnets.glamsterdam-devnet-2.specVersions.execution-spec-tests.bal@v5.6.1.source,public-spec-release,https://github.com/ethereum/execution-spec-tests/releases/tag/bal%40v5.6.1,2026-04-02,2026-05-12,1,41,The execution-spec-tests bal@v5.6.1 pre-release is labeled for bal-devnet-3 v7 and includes BAL/state-gas test updates referenced by the glamsterdam-devnet-2 spec.,
client-matrix,devnets.soldogn-interop.source,public-interop-recap,https://blog.ethereum.org/2026/05/02/soldogn-interop-recap,2026-05-02,2026-05-12,1,11,"The Ethereum Foundation Soldogn recap reports a stable multi-client Glamsterdam devnet running the latest ePBS, repricing, and block access list specs, with nearly all clients running together on glamsterdam-devnet-2 by Friday.",
